"","date","meal","course","dish"
"1",2021-02-12,"breakfast","main","Cerealie"
"2",2021-02-13,"breakfast","main","Prazenica"
"3",2021-02-14,"breakfast","main","Croissants"
"4",2021-02-15,"breakfast","main","Cerealie"
"5",2021-02-16,"breakfast","main","Cerealie"
"6",2021-02-17,"breakfast","main","Cerealie"
"7",2021-02-18,"breakfast","main","Cerealie"
"8",2021-02-12,"lunch","soup","Cesnacka"
"9",2021-02-13,"lunch","soup","Cesnacka"
"10",2021-02-14,"lunch","soup","clam chowder"
"11",2021-02-15,"lunch","soup","Hrachova"
"12",2021-02-16,"lunch","soup","clam chowder"
"13",2021-02-17,"lunch","soup","Hrachova"
"14",2021-02-18,"lunch","soup","Hovadzia"
"15",2021-02-12,"lunch","main","baskicke kura"
"16",2021-02-13,"lunch","main","granadir"
"17",2021-02-14,"lunch","main","osso bucco"
"18",2021-02-15,"lunch","main","jazyk"
"19",2021-02-16,"lunch","main","carbonnades flamands"
"20",2021-02-17,"lunch","main","osso bucco"
"21",2021-02-18,"lunch","main","rizoto"
"22",2021-02-12,"dinner","main","telaci jazyk"
"23",2021-02-13,"dinner","main","fondue savoyard"
"24",2021-02-14,"dinner","main","musle"
"25",2021-02-15,"dinner","main","sosovica"
"26",2021-02-16,"dinner","main","rizoto"
"27",2021-02-17,"dinner","main","chlieb s lososom"
"28",2021-02-18,"dinner","main","bryndzove halusky"
"29",2021-02-22,"breakfast","main","Cerealie"
"30",2021-02-23,"breakfast","main","Cerealie"
"31",2021-02-24,"breakfast","main","Cerealie"
"32",2021-02-25,"breakfast","main","Cerealie"
"33",2021-02-26,"breakfast","main","Cerealie"
"34",2021-02-27,"breakfast","main","Spanish omelete"
"35",2021-02-28,"breakfast","main","Lievance"
"36",2021-02-22,"lunch","soup","Karfiolova"
"37",2021-02-23,"lunch","soup","clam chowder"
"38",2021-02-24,"lunch","soup","Z kapusticiek"
"39",2021-02-25,"lunch","soup","Borsc"
"40",2021-02-26,"lunch","soup","Hovadzia"
"41",2021-02-27,"lunch","soup","Cuketova"
"42",2021-02-28,"lunch","soup","Cesnacka"
"43",2021-02-22,"lunch","main","palacinky"
"44",2021-02-23,"lunch","main","lamb vindaloo"
"45",2021-02-24,"lunch","main","sesame tuna"
"46",2021-02-25,"lunch","main","arista di maiale"
"47",2021-02-26,"lunch","main","lamb tajine"
"48",2021-02-27,"lunch","main","hamburger"
"49",2021-02-28,"lunch","main","fasirka"
"50",2021-02-22,"dinner","main","chicken parmigiana"
"51",2021-02-23,"dinner","main","fondue savoyard"
"52",2021-02-24,"dinner","main","chilli con carne"
"53",2021-02-25,"dinner","main","bourgignon"
"54",2021-02-26,"dinner","main","moussaka"
"55",2021-02-27,"dinner","main","kurca na rasci"
"56",2021-02-28,"dinner","main","bravcove na slivkach"
"57",2021-03-02,"breakfast","main","Cerealie"
"58",2021-03-03,"breakfast","main","Cerealie"
"59",2021-03-04,"breakfast","main","Cerealie"
"60",2021-03-05,"breakfast","main","Cerealie"
"61",2021-03-06,"breakfast","main","Prazenica"
"62",2021-03-07,"breakfast","main","Croissants"
"63",2021-03-08,"breakfast","main","Cerealie"
"64",2021-03-02,"lunch","soup","Kuracia"
"65",2021-03-03,"lunch","soup","Cibulova"
"66",2021-03-04,"lunch","soup","Fazulova"
"67",2021-03-05,"lunch","soup","Paradajkova"
"68",2021-03-06,"lunch","soup","Fazulova"
"69",2021-03-07,"lunch","soup","Paradajkova"
"70",2021-03-08,"lunch","soup","Hovadzia"
"71",2021-03-02,"lunch","main","chicken cacciatore"
"72",2021-03-03,"lunch","main","hovadzie steaky"
"73",2021-03-04,"lunch","main","hovadzie na mrkve"
"74",2021-03-05,"lunch","main","lamb tajine"
"75",2021-03-06,"lunch","main","sole meuniere"
"76",2021-03-07,"lunch","main","jahnacie kotletky"
"77",2021-03-08,"lunch","main","peceny bazant"
"78",2021-03-02,"dinner","main","pecene jahnacie stehno"
"79",2021-03-03,"dinner","main","svieckova na smotane"
"80",2021-03-04,"dinner","main","fasirka"
"81",2021-03-05,"dinner","main","musle"
"82",2021-03-06,"dinner","main","spagety bolo"
"83",2021-03-07,"dinner","main","zemlovka"
"84",2021-03-08,"dinner","main","sole meuniere"
